,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
279,440,Ivan Rakitić,hr CRO,MF,Barcelona,29,31.5,87,2.76,15,0.48,52,31,15,33.3,42,44,2282,88.6,5,29,2791,34,76.5,7896,1,28,11,0,87
280,441,Jonas Ramalho,es ESP,DF,Girona,24,25.5,15,0.59,2,0.08,25,16,15,62.5,25,35,668,74.0,0,5,1123,16,81.3,2517,0,7,1,0,74
281,442,Benito Ramirez,es ESP,FWDF,Las Palmas,22,1.8,8,4.34,0,0.00,6,3,1,20.0,0,2,41,56.2,0,3,91,5,80.0,380,0,1,1,0,61
282,445,Ivan Ramis,es ESP,DF,Eibar,32,14.5,4,0.28,0,0.00,20,14,8,42.1,12,25,578,82.6,0,1,822,4,100.0,2319,3,14,7,1,77
283,446,Omar Ramos,es ESP,FWMF,Leganés,29,16.1,43,2.67,3,0.19,22,14,9,40.9,16,14,362,70.7,1,22,672,59,55.9,2621,0,9,2,0,68
284,447,Sergio Ramos,es ESP,DF,Real Madrid,31,25.4,40,1.57,4,0.16,40,29,19,67.9,22,47,1717,89.4,1,14,2151,11,81.8,6405,4,25,12,2,91
285,449,Alberto Redondo,es ESP,DF,Getafe,20,1.0,1,1.00,0,0.00,4,3,2,50.0,2,0,14,42.4,0,0,40,0,,19,0,0,0,0,62
286,450,Xesc Regis,es ESP,FW,Eibar,20,0.0,0,0.00,0,0.00,1,1,0,,0,0,0,,0,0,1,0,,0,0,0,0,0,64
287,455,Mikel Rico,es ESP,MF,Athletic Club,32,13.0,23,1.77,2,0.15,24,13,12,35.3,15,23,441,79.6,0,11,681,18,55.6,1790,0,13,1,0,75
288,457,Asier Riesgo,es ESP,GK,Eibar,33,1.0,0,0.00,0,0.00,0,0,0,,0,0,13,39.4,0,0,34,0,,95,0,0,0,0,73
