,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
298,Losada,es ESP,MFFW,Celta Vigo,17,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,41521385
299,Pol Lozano,es ESP,MFFW,Espanyol,19,1999,1.9,5,4,3,2,0,2,6,33.3,4,47,18,38.3,26,16,5,6,1,0,5,0,5,2,0,Matches,ea610f00
300,José Luis Gayà,es ESP,DF,Valencia,24,1995,22.1,43,24,27,13,3,18,40,45.0,22,249,76,30.5,150,72,27,33,8,0,25,10,53,72,0,Matches,b05e2dbd
301,José Luis Morales,es ESP,FWMF,Levante,32,1987,28.0,15,7,4,8,3,6,32,18.8,26,354,78,22.0,50,167,137,25,1,0,24,11,26,10,0,Matches,4a478107
302,José Luis Rodríguez,pa PAN,FW,Alavés,21,1998,0.2,0,0,0,0,0,0,3,0.0,3,12,2,16.7,1,7,4,0,0,0,0,0,0,0,0,Matches,b333b014
303,Darwin Machís,ve VEN,FWMF,Granada,26,1993,23.7,28,19,12,9,7,12,33,36.4,21,358,94,26.3,96,154,108,36,3,0,33,12,40,13,0,Matches,ed6ea4d9
304,Lisandro Magallán,ar ARG,DF,Alavés,25,1993,13.3,25,13,15,10,0,6,14,42.9,8,89,24,27.0,57,32,0,19,8,0,11,6,31,76,1,Matches,01a49bd2
305,Abdallahi Mahmoud,mr MTN,MF,Alavés,19,2000,1.7,5,5,2,2,1,1,6,16.7,5,39,12,30.8,16,19,4,1,0,0,1,4,9,3,0,Matches,ab99e4a0
306,Nemanja Maksimović,rs SRB,MF,Getafe,24,1995,32.2,53,34,14,31,8,15,56,26.8,41,698,206,29.5,134,424,140,47,9,1,38,40,93,56,1,Matches,00b28772
307,Hugo Mallo,es ESP,DF,Celta Vigo,28,1991,21.8,63,28,43,18,2,20,50,40.0,30,292,79,27.1,151,106,35,53,7,0,46,14,77,90,1,Matches,cb574619
