,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,,-additional
280,Thomas Lemar,fr FRA,MF,Atlético Madrid,23,1995,10.3,524,7,68,301,205,11,486,21,38,55.3,23,1,374,2175,1183,59,24,1,24,10,420,353,84.0,47,Matches,4dbd0916
281,Clément Lenglet,fr FRA,DF,Barcelona,24,1995,26.9,2375,326,1097,1388,51,12,2322,5,9,55.6,5,0,1771,9738,5966,160,20,0,0,6,1858,1834,98.7,6,Matches,4f28a6ff
282,Pedro León,es ESP,MFFW,Eibar,32,1986,21.1,945,12,80,355,552,65,819,20,38,52.6,26,2,534,2413,1028,66,18,9,43,34,859,588,68.5,139,Matches,d66b9872
283,Sergio León,es ESP,FW,Levante,30,1989,7.5,190,2,15,85,96,31,179,2,10,20.0,3,0,118,421,189,10,1,6,20,8,268,132,49.3,59,Matches,0a0cc13c
284,Lillo,es ESP,DF,Osasuna,30,1989,2.2,146,7,44,86,30,1,118,1,1,100.0,1,0,89,479,290,13,8,1,0,3,91,82,90.1,1,Matches,476ca810
285,Diego Llorente,es ESP,DF,Real Sociedad,25,1993,25.9,1842,260,1001,941,44,16,1808,6,8,75.0,6,0,1249,8187,4838,113,10,0,5,4,1291,1275,98.8,15,Matches,bba30585
286,Marcos Llorente,es ESP,MFFW,Atlético Madrid,24,1995,15.2,676,22,114,389,208,51,671,25,33,75.8,27,1,497,2614,1252,65,17,17,19,31,534,446,83.5,96,Matches,02c15616
287,Stanislav Lobotka,sk SVK,MF,Celta Vigo,24,1994,15.4,883,16,176,592,184,13,872,10,15,66.7,10,0,670,3879,1796,70,28,2,7,20,729,659,90.4,33,Matches,e1cbb531
288,Renan Lodi,br BRA,DF,Atlético Madrid,21,1998,26.6,1569,64,456,696,500,38,1278,14,30,46.7,15,1,890,4194,2351,116,34,10,25,32,927,818,88.2,87,Matches,ed9f7cfe
289,Rony Lopes,pt POR,FWMF,Sevilla,23,1995,1.5,65,0,7,42,21,0,60,2,3,66.7,2,0,51,205,80,6,1,0,3,3,59,43,72.9,5,Matches,7c2965bb
290,Adrián López,es ESP,FWMF,Osasuna,31,1988,16.0,657,12,44,344,327,73,640,15,30,50.0,15,1,434,2889,1789,103,46,20,39,26,805,524,65.1,153,Matches,88a359d4
291,David López,es ESP,DFMF,Espanyol,29,1989,27.3,1623,138,627,951,140,21,1583,8,9,88.9,8,0,1012,5162,2795,72,17,0,9,18,1078,1014,94.1,29,Matches,f03f284b
292,Diego López,es ESP,GK,Espanyol,37,1981,35.9,1232,1062,1225,9,0,0,797,3,4,75.0,4,0,505,3275,2189,0,0,0,0,0,393,392,99.7,0,Matches,73683fa9
293,Javi López,es ESP,DF,Espanyol,33,1986,15.4,888,55,289,436,214,6,742,14,21,66.7,15,2,481,2449,1310,47,20,0,10,9,446,413,92.6,21,Matches,ffad706e
294,Javi López,es ESP,DF,Alavés,17,2002,1.0,45,6,17,14,15,0,37,0,0,,0,0,19,94,47,1,0,0,0,1,19,17,89.5,3,Matches,e9ada8cf
295,Lluis López,es ESP,DF,Espanyol,22,1997,3.3,269,28,132,144,15,2,258,0,2,0.0,1,0,199,1057,628,11,6,0,1,0,219,214,97.7,2,Matches,a685f013
296,Roberto López,es ESP,MFFW,Real Sociedad,19,2000,0.6,55,3,8,30,23,0,54,3,3,100.0,3,0,45,170,37,1,3,0,0,4,47,40,85.1,7,Matches,2a8c9f98
297,Unai López,es ESP,MF,Athletic Club,23,1995,19.9,1374,25,222,892,341,14,1240,19,23,82.6,20,0,933,4633,1868,87,24,1,13,25,997,919,92.2,33,Matches,88050721
298,Losada,es ESP,MFFW,Celta Vigo,17,2001,0.1,12,0,1,5,6,1,12,0,0,,0,0,8,37,21,3,0,1,2,0,11,8,72.7,4,Matches,41521385
299,Pol Lozano,es ESP,MFFW,Espanyol,19,1999,1.9,105,2,31,68,11,1,103,1,1,100.0,1,0,72,396,129,6,3,0,1,1,73,66,90.4,0,Matches,ea610f00
300,José Luis Gayà,es ESP,DF,Valencia,24,1995,22.1,1255,81,423,578,362,43,1064,31,51,60.8,32,0,775,5202,3229,134,38,4,14,17,834,754,90.4,70,Matches,b05e2dbd
301,José Luis Morales,es ESP,FWMF,Levante,32,1987,28.0,999,15,123,430,542,139,970,51,104,49.0,58,5,782,4125,2563,139,45,40,71,53,1124,754,67.1,234,Matches,4a478107
302,José Luis Rodríguez,pa PAN,FW,Alavés,21,1998,0.2,8,1,1,5,2,1,8,1,1,100.0,1,0,10,11,6,1,0,1,1,0,9,6,66.7,1,Matches,b333b014
303,Darwin Machís,ve VEN,FWMF,Granada,26,1993,23.7,896,22,126,335,529,82,821,51,87,58.6,52,5,637,4354,3027,175,49,32,51,36,815,560,68.7,157,Matches,ed6ea4d9
304,Lisandro Magallán,ar ARG,DF,Alavés,25,1993,13.3,566,78,335,260,12,9,540,2,3,66.7,2,0,274,1654,798,14,1,0,3,3,293,278,94.9,8,Matches,01a49bd2
305,Abdallahi Mahmoud,mr MTN,MF,Alavés,19,2000,1.7,61,5,17,43,4,0,61,3,4,75.0,3,0,37,143,48,2,1,0,3,2,36,35,97.2,4,Matches,ab99e4a0
306,Nemanja Maksimović,rs SRB,MF,Getafe,24,1995,32.2,988,45,185,583,259,51,925,8,14,57.1,10,0,390,2076,924,50,16,2,19,10,552,396,71.7,67,Matches,00b28772
307,Hugo Mallo,es ESP,DF,Celta Vigo,28,1991,21.8,1570,90,501,729,418,21,1308,8,12,66.7,8,0,810,3667,1805,84,40,3,17,12,951,866,91.1,38,Matches,cb574619
308,Aïssa Mandi,dz ALG,DF,Betis,27,1991,28.6,2047,313,1110,987,62,19,1951,6,9,66.7,8,0,1338,6496,3193,60,8,0,4,4,1479,1451,98.1,16,Matches,fbd6378b
309,Eliaquim Mangala,fr FRA,DF,Valencia,28,1991,7.5,353,70,216,145,6,4,347,0,1,0.0,0,0,205,905,319,8,1,0,1,1,229,225,98.3,3,Matches,f520049f
310,Marcelo,br BRA,DF,Real Madrid,31,1988,14.4,1212,46,239,586,461,45,1087,10,13,76.9,10,0,824,3996,2505,137,36,14,19,14,946,871,92.1,64,Matches,603116a7
311,Óscar de Marcos,es ESP,DFFW,Athletic Club,30,1989,6.0,275,13,58,132,99,3,242,2,4,50.0,2,0,147,853,441,24,8,0,6,3,217,164,75.6,22,Matches,9f323c71
312,Miguel Marí,es ESP,MF,Eibar,22,1997,0.1,5,0,0,4,1,0,5,0,0,,0,0,2,3,2,0,0,0,0,0,1,1,100.0,0,Matches,d70a3661
313,José María Giménez,uy URU,DF,Atlético Madrid,24,1995,19.5,1040,142,582,503,24,15,987,1,1,100.0,1,0,601,2904,1613,32,1,0,3,2,635,622,98.0,13,Matches,f0da930c
314,Mariano,do DOM,FW,Real Madrid,25,1993,0.5,23,0,1,9,13,6,21,2,2,100.0,2,0,14,82,66,2,0,1,2,0,31,15,48.4,4,Matches,5c4dc0ff
315,Adrián Marín,es ESP,DF,Alavés,22,1997,9.5,466,38,165,225,99,7,368,8,22,36.4,10,3,226,1037,652,30,11,2,5,6,224,207,92.4,9,Matches,b7f2edff
316,Guillermo Maripán,cl CHI,DF,Alavés,25,1994,1.0,21,5,15,6,0,0,20,0,0,,0,0,8,33,15,0,0,0,0,0,5,5,100.0,0,Matches,d9764034
317,Roger Martí,es ESP,FW,Levante,28,1991,25.2,710,14,71,360,312,95,694,12,26,46.2,13,2,446,1806,878,58,12,14,63,26,1022,514,50.3,177,Matches,0ae4e09a
318,Daniel Martín,es ESP,GK,Betis,21,1998,5.9,201,168,198,3,0,0,153,0,0,,0,0,106,449,271,0,0,0,0,0,99,99,100.0,0,Matches,4df0dff8
319,Álex Martínez,es ESP,DF,Granada,28,1990,0.2,10,0,1,4,7,0,6,0,0,,0,0,5,46,39,2,1,0,0,0,5,5,100.0,0,Matches,e1c805cf
320,Iñigo Martínez,es ESP,DF,Athletic Club,28,1991,33.0,1904,191,962,997,111,31,1789,8,11,72.7,8,0,1050,7177,3875,110,22,0,2,7,1089,1055,96.9,29,Matches,3fc45c73
321,Javi Martínez,es ESP,MF,Osasuna,19,1999,0.1,9,1,1,3,6,1,9,0,0,,0,0,7,22,18,1,1,0,2,1,7,7,100.0,3,Matches,3672b352
322,Pablo Martínez,es ESP,MFFW,Levante,21,1998,0.4,31,5,13,11,8,2,28,0,2,0.0,0,0,15,53,30,1,0,0,1,2,17,13,76.5,1,Matches,ecc77652
323,Jordi Masip,es ESP,GK,Valladolid,30,1989,35.0,1107,1006,1103,4,1,0,656,0,0,,0,0,417,2795,1789,0,0,0,0,0,345,343,99.4,0,Matches,8fae77ea
324,Jaime Mata,es ESP,FW,Getafe,30,1988,30.5,1136,16,71,494,611,139,1122,18,37,48.6,23,1,692,2292,848,49,16,12,91,54,1632,876,53.7,375,Matches,02319ad7
325,Borja Mayoral,es ESP,FW,Levante,22,1997,23.8,782,17,68,424,345,87,758,30,57,52.6,32,2,589,2607,1122,70,24,13,35,50,980,604,61.6,213,Matches,64e8ed6d
326,Óscar Melendo,es ESP,MFFW,Espanyol,21,1997,12.4,461,6,47,259,186,11,456,9,19,47.4,10,0,346,1920,829,56,12,2,9,15,457,355,77.7,63,Matches,379652be
327,Gonzalo Melero,es ESP,MF,Levante,25,1994,13.7,703,34,191,411,134,26,690,12,22,54.5,14,3,459,1951,980,47,12,4,16,16,555,475,85.6,41,Matches,3902e91b
328,Arthur Melo,br BRA,MF,Barcelona,22,1996,13.1,1184,20,168,773,342,16,1150,29,33,87.9,29,1,999,5317,2284,121,46,5,21,17,1091,998,91.5,47,Matches,48b3dd60
329,Brais Méndez,es ESP,MFFW,Celta Vigo,22,1997,16.4,907,27,142,467,353,41,868,25,42,59.5,27,3,624,2527,1328,79,27,8,39,30,806,655,81.3,98,Matches,c9e39d91
330,Édgar Méndez,es ESP,MFFW,Alavés,29,1990,9.6,317,8,65,149,126,17,314,12,17,70.6,12,1,201,990,512,27,6,4,21,19,328,207,63.1,48,Matches,aed746df
331,Ferland Mendy,fr FRA,DF,Real Madrid,24,1995,20.1,1489,57,390,691,496,39,1304,52,72,72.2,55,4,1034,5023,2740,135,37,13,38,19,1093,994,90.9,69,Matches,3cefcaef
332,Fran Mérida,es ESP,MF,Osasuna,29,1990,12.9,904,15,183,606,165,12,874,24,35,68.6,26,0,616,2432,1320,58,13,1,10,19,674,622,92.3,44,Matches,0e50f929
333,Mikel Merino,es ESP,MF,Real Sociedad,23,1996,34.9,2407,80,440,1519,578,62,2382,34,58,58.6,38,4,1621,6682,3412,156,50,4,48,37,1921,1687,87.8,159,Matches,d080ed5e
334,Sabin Merino,es ESP,FW,Leganés,27,1992,0.9,28,0,0,12,19,5,27,1,1,100.0,1,0,21,141,42,2,2,1,2,2,43,21,48.8,10,Matches,1d5f96d9
335,Roque Mesa,es ESP,MF,Leganés,30,1989,22.4,1152,13,163,719,385,24,1096,32,55,58.2,38,0,920,5624,2826,138,48,5,32,38,890,775,87.1,50,Matches,7c4243d4
336,Lionel Messi,ar ARG,FWMF,Barcelona,32,1987,32.0,2615,1,57,1331,1486,217,2412,183,274,66.8,193,9,2226,11525,7014,479,172,48,65,88,2616,2229,85.2,267,Matches,d70ce98e
337,Míchel,es ESP,MF,Valladolid,31,1988,24.2,1613,65,395,984,307,13,1427,18,26,69.2,18,1,973,4564,1885,80,12,3,20,20,1046,971,92.8,36,Matches,418f8f61
338,Miguel,es ESP,FW,Valladolid,19,1999,2.6,72,1,6,39,33,8,71,4,5,80.0,4,0,44,178,115,6,2,3,10,4,112,55,49.1,24,Matches,6763373d
339,Éder Militão,br BRA,DF,Real Madrid,21,1998,11.4,803,121,447,368,27,4,767,1,2,50.0,1,0,523,2758,1303,22,5,0,6,8,555,543,97.8,4,Matches,2784f898
340,Santi Mina,es ESP,FWMF,Celta Vigo,23,1995,21.6,996,29,102,498,440,82,969,11,30,36.7,13,2,545,2239,1294,70,23,8,60,48,1198,752,62.8,173,Matches,0b90bb97
341,Jorge Miramón,es ESP,DF,Levante,30,1989,27.0,1542,124,636,634,351,27,1295,22,34,64.7,22,0,850,4580,2785,117,37,5,18,17,875,790,90.3,54,Matches,7f4c7c9f
342,Luka Modrić,hr CRO,MF,Real Madrid,33,1985,22.2,1696,22,282,975,569,41,1638,40,64,62.5,45,3,1271,7098,3189,165,46,7,30,30,1481,1341,90.5,100,Matches,6025fab1
343,Jorge Molina,es ESP,FW,Getafe,37,1982,21.0,837,18,45,365,459,96,819,22,34,64.7,25,0,562,1873,962,59,15,14,57,50,1123,654,58.2,258,Matches,43f71e77
344,Jon Moncayola,es ESP,MFDF,Osasuna,21,1998,16.6,831,31,216,526,122,9,799,11,16,68.8,11,1,435,1617,728,23,7,1,10,10,493,447,90.7,31,Matches,9939e168
345,Nacho Monreal,es ESP,DF,Real Sociedad,33,1986,26.6,1640,70,510,810,399,47,1364,10,15,66.7,10,0,871,3857,2094,74,35,2,18,9,1043,938,89.9,57,Matches,d4cb83cc
346,Joan Monterde,es ESP,MF,Levante,21,1997,0.1,8,0,2,5,2,0,8,1,1,100.0,1,0,8,42,28,2,1,0,0,0,9,5,55.6,0,Matches,0ff67313
347,Ángel Montoro,es ESP,MF,Granada,31,1988,10.8,683,25,143,417,164,13,606,6,10,60.0,6,2,436,2127,902,44,12,5,9,7,471,433,91.9,24,Matches,719384c1
348,Álvaro Morata,es ESP,FW,Atlético Madrid,26,1992,23.3,850,30,71,417,414,133,839,19,33,57.6,19,1,457,2386,1337,68,30,10,83,49,1132,637,56.3,252,Matches,129af0db
349,Alberto Moreno,es ESP,DF,Villarreal,27,1992,16.3,1159,55,383,565,292,32,971,11,23,47.8,12,1,677,3259,2084,79,29,8,16,11,761,698,91.7,42,Matches,11b9265b
350,Álex Moreno,es ESP,DF,Betis,26,1993,25.2,1622,67,461,712,580,90,1375,48,82,58.5,55,2,1005,6223,3773,184,59,34,33,37,1100,964,87.6,100,Matches,16e9d0ea
351,Gerard Moreno,es ESP,FWMF,Villarreal,27,1992,30.5,1447,56,131,813,573,150,1408,61,101,60.4,63,0,1041,4763,2332,148,36,21,95,47,1648,1152,69.9,334,Matches,81f0781e
352,Manu Morlanes,es ESP,MFFW,Villarreal,20,1999,2.8,207,4,39,144,39,1,199,3,3,100.0,3,0,155,550,304,14,7,0,1,1,165,158,95.8,3,Matches,a0255c67
353,Loren Morón,es ESP,FW,Betis,25,1993,22.6,576,20,67,305,238,87,532,20,34,58.8,22,1,354,1498,830,39,14,8,63,38,753,373,49.5,114,Matches,3aa4a3be
354,Toni Moya,es ESP,MF,Atlético Madrid,21,1998,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches,9e098912
355,Javi Moyano,es ESP,DF,Valladolid,33,1986,24.7,1273,96,435,598,281,14,1038,19,22,86.4,19,2,646,2859,1416,65,16,3,15,12,672,608,90.5,34,Matches,933e8c8a
356,Iker Muniain,es ESP,FWMF,Athletic Club,26,1992,26.5,1358,11,136,766,578,69,1285,54,93,58.1,59,6,1039,5085,2630,143,62,12,41,46,1240,1034,83.4,148,Matches,c05dfb74
357,Aihen Muñoz,es ESP,DF,Real Sociedad,21,1997,10.9,754,23,221,371,192,9,610,6,13,46.2,6,1,455,1849,1050,50,11,2,4,12,481,441,91.7,28,Matches,228b0d9d
358,Javier Muñoz,es ESP,MF,Alavés,24,1995,0.6,20,0,6,12,3,0,20,0,0,,0,0,15,50,4,0,0,0,0,1,15,14,93.3,0,Matches,ec7c84c2
359,Jeison Murillo,co COL,DF,Celta Vigo,27,1992,17.0,892,151,508,393,20,14,842,1,2,50.0,1,0,489,2264,1186,17,1,0,5,1,530,513,96.8,10,Matches,b233e8e4
360,Nacho,es ESP,DF,Valladolid,30,1989,21.0,1354,85,418,639,374,25,1087,13,25,52.0,15,1,718,3559,2078,98,42,3,13,3,767,702,91.5,51,Matches,e29d1111
361,Nacho,es ESP,DF,Real Madrid,29,1990,4.9,354,35,105,167,94,3,319,1,5,20.0,1,0,218,774,343,16,7,0,3,1,243,231,95.1,17,Matches,2946f9a1
362,Naldo,br BRA,DF,Espanyol,30,1988,14.8,821,93,430,396,28,14,796,3,4,75.0,3,0,483,2335,1052,25,2,0,8,8,523,506,96.7,7,Matches,a2609621
363,Marc Navarro,es ESP,DF,Leganés,24,1995,2.4,102,6,30,49,30,5,85,2,2,100.0,2,0,53,260,173,11,3,1,2,1,67,59,88.1,5,Matches,c2846353
364,Ximo Navarro,es ESP,DF,Alavés,29,1990,21.1,1119,108,468,558,152,13,949,14,21,66.7,15,0,508,3049,1403,52,13,0,19,14,525,484,92.2,13,Matches,8db394aa
365,Jesús Navas,es ESP,DF,Sevilla,33,1985,37.4,2957,91,722,1359,1091,66,2544,47,67,70.1,48,1,1940,11924,7908,409,116,42,24,30,2128,1951,91.7,152,Matches,3f10bd22
366,Raúl Navas,es ESP,DF,Osasuna,31,1988,7.9,351,63,210,148,5,2,322,5,6,83.3,5,0,173,1046,477,14,1,0,5,2,150,148,98.7,2,Matches,ad178594
367,Neto,br BRA,GK,Barcelona,30,1989,2.0,64,56,64,0,0,0,44,0,0,,0,0,33,116,51,0,0,0,0,0,33,33,100.0,0,Matches,a9dc785c
368,Carlos Neva,es ESP,DF,Granada,23,1996,24.5,1112,55,299,577,282,16,878,6,12,50.0,6,0,538,2706,1426,74,22,0,13,15,609,524,86.0,37,Matches,8d47bb39
369,Saúl Ñíguez,es ESP,MFDF,Atlético Madrid,24,1994,34.1,2170,106,515,1310,463,64,2077,24,37,64.9,25,0,1216,5552,2744,111,34,5,40,33,1549,1365,88.1,103,Matches,c14bc029
370,Fernando Niño,es ESP,FW,Villarreal,18,2000,0.9,33,2,2,20,12,4,33,2,2,100.0,2,0,26,96,24,2,0,2,4,0,48,26,54.2,14,Matches,81d5c497
371,Nolito,es ESP,FWMF,Celta Vigo,32,1986,3.6,210,4,35,106,80,17,193,1,6,16.7,1,0,140,555,282,16,6,4,4,6,178,141,79.2,27,Matches,b2d0ec1b
372,Nolito,es ESP,FW,Sevilla,32,1986,10.0,438,4,44,178,238,57,425,12,16,75.0,12,0,324,1518,926,57,8,15,17,7,477,334,70.0,81,Matches,b2d0ec1b
373,Unai Núñez,es ESP,DF,Athletic Club,22,1997,17.5,874,127,488,415,26,12,856,6,7,85.7,7,0,509,2770,1468,33,2,0,6,4,536,526,98.1,12,Matches,be170419
374,Allan Nyom,cm CMR,DFMF,Getafe,31,1988,26.9,1170,49,295,561,367,29,937,13,28,46.4,16,0,556,2919,1418,86,32,3,18,24,640,545,85.2,52,Matches,97572117
375,Jan Oblak,si SVN,GK,Atlético Madrid,26,1993,37.7,1011,896,1000,11,1,0,599,1,1,100.0,1,0,402,2325,1438,1,0,0,1,0,322,319,99.1,0,Matches,ee8508c0
376,Rafael Obrador,es ESP,DF,Mallorca,15,2004,0.0,4,0,1,1,2,0,4,0,0,,0,0,3,29,19,1,0,0,0,1,2,2,100.0,0,Matches,949c3655
377,Lucas Ocampos,ar ARG,FW,Sevilla,25,1994,30.5,1524,29,185,634,829,201,1493,83,168,49.4,97,6,1180,6792,4370,239,70,47,83,94,1480,1127,76.1,277,Matches,a08b974a
378,Martin Ødegaard,no NOR,MF,Real Sociedad,20,1998,28.1,1904,13,191,1102,770,68,1730,63,94,67.0,65,1,1459,8462,4494,271,88,18,45,54,1582,1401,88.6,157,Matches,79300479
379,Álvaro Odriozola,es ESP,DF,Real Madrid,23,1995,3.8,212,11,63,99,69,8,170,9,13,69.2,10,0,133,856,397,17,7,4,3,5,142,128,90.1,4,Matches,1d1691ad
380,Lucas Olaza,uy URU,DF,Celta Vigo,25,1994,34.9,2302,109,752,1136,540,20,1918,15,26,57.7,16,1,1379,5821,3288,133,48,3,19,17,1461,1375,94.1,41,Matches,4cee5954
381,Oier Olazábal,es ESP,GK,Espanyol,29,1989,2.0,64,62,64,0,0,0,50,0,0,,0,0,37,213,95,0,0,0,0,0,32,31,96.9,0,Matches,b5bdf144
382,Kiko Olivas,es ESP,DF,Valladolid,30,1988,32.7,1555,225,845,774,37,18,1493,12,12,100.0,12,0,935,6182,3171,78,10,0,8,15,933,911,97.6,11,Matches,72b07a9c
383,Paulo Oliveira,pt POR,DF,Eibar,27,1992,23.2,1048,137,487,582,33,15,1024,3,3,100.0,3,0,468,2778,1140,23,3,0,1,4,500,491,98.2,11,Matches,a8fbae1d
384,Mathías Olivera,uy URU,DF,Getafe,21,1997,20.8,1170,49,287,588,345,33,912,20,33,60.6,22,0,420,2292,1424,66,25,5,20,21,489,396,81.0,34,Matches,41c12f75
385,Kenneth Omeruo,ng NGA,DF,Leganés,25,1993,20.8,884,134,500,390,20,11,867,3,3,100.0,3,0,372,1513,574,16,3,0,1,5,351,343,97.7,4,Matches,0f0aa5b4
386,Javier Ontiveros,es ESP,FWMF,Villarreal,21,1997,9.9,680,14,104,354,288,45,649,29,59,49.2,30,1,512,3103,1913,112,34,21,23,28,568,491,86.4,68,Matches,a83d8b0c
387,Fabián Orellana,cl CHI,MFFW,Eibar,33,1986,26.6,1485,2,101,639,869,110,1364,70,135,51.9,76,5,1127,5757,3394,205,59,32,84,104,1394,1083,77.7,269,Matches,c90977db
388,Aimar Oroz,es ESP,FW,Osasuna,17,2001,0.1,7,0,0,4,3,1,7,0,0,,0,0,4,2,0,0,0,0,0,0,6,5,83.3,1,Matches,7c363088
389,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,22,1997,33.9,1571,19,187,759,747,124,1497,61,89,68.5,62,3,1113,5864,3016,175,62,12,78,74,1546,1116,72.2,279,Matches,8c3c640c
390,Fernando Pacheco,es ESP,GK,Alavés,27,1992,26.2,864,753,861,3,2,2,519,0,0,,0,0,341,2099,1482,0,0,0,0,1,273,271,99.3,0,Matches,97852360
391,Jon Pacheco,es ESP,DF,Real Sociedad,18,2001,0.9,45,4,22,26,1,0,43,1,1,100.0,1,0,26,180,109,5,0,0,0,0,24,24,100.0,0,Matches,44150beb
392,Daniel Parejo,es ESP,MF,Valencia,30,1989,33.6,2689,73,624,1611,595,19,2394,40,57,70.2,42,2,1763,8569,3919,152,41,4,28,33,1993,1884,94.5,55,Matches,7460ca0d
393,Miquel Parera,es ESP,GK,Mallorca,23,1996,1.0,28,25,28,0,0,0,23,0,0,,0,0,15,74,46,0,0,0,0,0,15,15,100.0,0,Matches,f9b42381
394,Thomas Partey,gh GHA,MF,Atlético Madrid,26,1993,28.3,1990,87,452,1341,304,15,1928,47,56,83.9,48,2,1380,6285,3312,134,26,4,20,15,1371,1324,96.6,24,Matches,529f49ab
395,Paulino,es ESP,MF,Alavés,22,1997,0.8,45,0,5,25,17,0,42,1,4,25.0,2,0,30,139,86,6,0,0,4,3,49,35,71.4,7,Matches,f20fce1b
396,Gabriel Paulista,br BRA,DF,Valencia,28,1990,31.1,2028,397,1246,869,34,16,1961,6,7,85.7,6,0,1288,7848,4126,63,3,0,4,1,1344,1327,98.7,10,Matches,b7ca5c51
397,Alfonso Pedraza,es ESP,DF,Betis,23,1996,15.0,971,57,310,467,253,43,843,20,34,58.8,23,3,602,3126,1800,74,23,13,23,14,660,592,89.7,37,Matches,63f04c6c
398,Marc Pedraza,es ESP,MF,Mallorca,32,1987,1.4,41,3,13,28,3,1,41,1,1,100.0,1,0,19,42,11,0,0,0,1,1,26,23,88.5,1,Matches,ff8f26ef
399,Pedrosa,es ESP,DFMF,Espanyol,21,1998,12.1,674,31,182,350,195,19,571,21,41,51.2,24,0,389,1967,1218,55,18,6,25,19,439,363,82.7,43,Matches,112521d1
400,Rubén Peña,es ESP,DF,Villarreal,28,1991,21.2,1579,67,493,805,390,23,1360,22,50,44.0,26,1,949,4674,2732,107,37,6,23,24,1034,953,92.2,49,Matches,1f079188
401,Luis Perea,es ESP,FWMF,Osasuna,21,1997,0.2,9,0,2,4,3,2,9,0,0,,0,0,7,18,5,0,0,0,2,0,11,7,63.6,2,Matches,8dc6dbb3
402,Victor Perea,es ESP,DF,Espanyol,19,2000,14.1,828,36,226,395,257,12,674,4,10,40.0,5,1,466,2773,1622,87,22,4,9,9,519,446,85.9,39,Matches,b7de5bad
403,Carles Pérez,es ESP,FW,Barcelona,21,1998,5.3,361,2,27,129,233,36,349,10,22,45.5,11,0,288,1481,812,50,13,11,14,11,349,294,84.2,44,Matches,a8f21b9f
404,Iñigo Pérez,es ESP,MF,Osasuna,31,1988,12.0,697,7,109,417,200,7,628,8,10,80.0,9,2,396,1482,726,38,11,1,13,10,494,437,88.5,23,Matches,bc61cc65
405,Juan Pérez,es ESP,GK,Osasuna,23,1996,2.0,72,61,72,0,0,0,46,0,0,,0,0,27,222,123,0,0,0,0,0,23,23,100.0,0,Matches,8f29e08b
406,Kike Pérez,es ESP,MFFW,Valladolid,22,1997,2.4,136,6,27,92,26,3,134,6,13,46.2,6,0,99,569,290,13,3,3,2,0,99,87,87.9,4,Matches,237a3851
407,Lucas Pérez,es ESP,FW,Alavés,30,1988,27.7,938,2,41,400,551,91,766,21,46,45.7,22,2,570,2947,1446,88,31,20,55,51,1123,594,52.9,212,Matches,a300ac7e
408,Rubén Pérez,es ESP,MF,Leganés,30,1989,24.4,1379,51,351,906,177,5,1338,9,18,50.0,11,2,809,3341,1360,36,8,1,12,10,791,748,94.6,13,Matches,3c7bc9bd
409,Samu Pérez,es ESP,GK,Valladolid,22,1997,0.3,7,7,7,0,0,0,2,0,0,,0,0,2,0,0,0,0,0,0,0,2,2,100.0,0,Matches,aae17c81
410,Pablo Piatti,ar ARG,DFMF,Espanyol,30,1989,0.6,43,0,3,21,23,5,38,0,0,,0,0,27,182,107,5,1,1,4,0,38,25,65.8,5,Matches,48e89655
411,Cristiano Piccini,it ITA,DF,Valencia,26,1992,0.8,63,6,21,31,19,1,58,3,4,75.0,3,0,39,292,176,5,5,0,1,1,38,37,97.4,1,Matches,32c0491f
412,Tomás Pina Isla,es ESP,MF,Alavés,31,1987,14.9,671,42,179,438,76,4,662,9,10,90.0,10,0,376,1495,526,16,5,0,4,9,401,361,90.0,8,Matches,e54bd0a2
413,Pipa,es ESP,DF,Espanyol,21,1998,5.3,283,16,97,116,91,5,235,4,9,44.4,5,0,141,1033,648,30,10,5,8,3,152,132,86.8,14,Matches,10f1cd17
414,Gerard Piqué,es ESP,DF,Barcelona,32,1987,34.4,2996,428,1407,1708,93,28,2891,9,9,100.0,9,0,2084,13261,7918,198,22,0,9,7,2211,2171,98.2,21,Matches,adfc9123
415,Óscar Plano,es ESP,MF,Valladolid,28,1991,27.8,1073,36,219,566,355,53,1056,11,22,50.0,11,1,683,3734,1799,85,31,6,44,26,886,656,74.0,135,Matches,7c388b20
416,Pere Pons,es ESP,MF,Alavés,26,1993,12.1,509,17,111,321,104,15,498,4,15,26.7,7,0,304,1408,619,35,10,3,24,16,363,309,85.1,32,Matches,29b61deb
417,Pedro Porro,es ESP,DFMF,Valladolid,19,1999,8.2,457,28,155,221,108,4,368,10,20,50.0,12,1,262,1331,828,42,15,2,5,12,269,238,88.5,18,Matches,27d0a506
418,Francisco Portillo,es ESP,MF,Getafe,29,1990,4.2,211,4,20,116,93,8,208,9,11,81.8,9,0,164,757,342,21,9,1,10,6,193,149,77.2,22,Matches,8e010ff4
419,Portu,es ESP,FWMF,Real Sociedad,27,1992,26.6,926,15,103,365,526,135,868,10,25,40.0,10,0,587,3140,1936,112,39,19,51,35,1064,628,59.0,221,Matches,1bda5842
420,Sergio Postigo,es ESP,DF,Levante,30,1988,26.4,1296,247,749,581,42,11,1239,5,9,55.6,5,0,699,4315,2726,59,10,0,5,5,757,740,97.8,3,Matches,474ecac8
