,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
30,80,Erick Cabaco,9.0,6,0.67,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,80,9.0,14,10,12,2,0,4,7,57.1,3,51,21,41.2,40,10,1,15,8,0,7,11,25,74,0,80,9.0,275,349,78.8,6650,2637,70,78,89.7,126,140,90.0,75,125,60.0,0,0.1,-0.1,2,15,1,0,22,80,9.0,469,114,282,193,12,4,450,4,5,80.0,4,0,256,1152,645,13,1,0,1,0,254,249,98.0,1,80,9.0,0,4,0,0.0,0.44,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,74
31,85,Jonathan Calleri,20.1,39,1.94,22,1,2,7,7,0,7,0.35,5,0,0,1,1,0,85,20.1,16,9,5,8,3,5,17,29.4,12,284,83,29.2,28,133,123,14,4,0,10,7,23,22,0,85,20.1,199,365,54.5,2826,711,124,196,63.3,53,110,48.2,12,30,40.0,3,2.3,+0.7,16,20,10,3,23,85,20.1,623,27,58,292,304,95,603,15,28,53.6,19,1,319,1479,634,33,10,9,67,38,876,457,52.2,181,85,20.1,1,46,14,30.4,2.29,0.70,0.02,0.07,11.8,0,0,0,3.6,3.6,0.08,-2.6,-2.6,74
32,91,Sergio Canales,35.1,138,3.93,99,28,4,3,4,0,14,0.40,9,4,0,1,0,0,91,35.1,30,25,12,12,6,8,37,21.6,29,379,85,22.4,112,180,87,44,3,0,41,8,38,17,0,91,35.1,1865,2221,84.0,35309,7042,783,857,91.4,777,865,89.8,262,406,64.5,6,5.7,+0.3,76,141,60,13,139,91,35.1,2529,34,421,1401,945,99,2296,48,71,67.6,54,1,1854,12228,6949,247,97,18,40,46,2155,1932,89.7,188,91,35.1,6,47,14,29.8,1.34,0.40,0.06,0.21,21.0,4,3,4,7.0,4.0,0.08,-1.0,-1.0,82
33,92,Ander Capa,31.9,48,1.50,34,7,5,0,1,1,5,0.16,5,0,0,0,0,0,92,31.9,58,32,38,16,4,17,55,30.9,38,438,113,25.8,221,141,76,56,6,0,50,20,78,99,0,92,31.9,1188,1598,74.3,20064,8418,588,677,86.9,496,652,76.1,91,202,45.0,4,3.3,+0.7,26,66,25,11,107,92,31.9,1951,86,497,933,661,47,1570,52,76,68.4,57,5,1034,5859,3890,195,72,13,28,43,1142,1003,87.8,73,92,31.9,3,17,7,41.2,0.53,0.22,0.18,0.43,21.0,0,0,0,1.1,1.1,0.07,+1.9,+1.9,81
34,93,Marc Cardona,7.8,15,1.91,13,0,1,1,0,0,3,0.38,2,0,0,1,0,0,93,7.8,2,2,1,1,0,0,7,0.0,7,150,47,31.3,10,77,63,7,0,0,7,0,2,4,0,93,7.8,135,184,73.4,2024,331,83,103,80.6,39,55,70.9,10,14,71.4,2,1.4,+0.6,10,7,5,1,10,93,7.8,270,4,16,145,125,31,250,10,17,58.8,11,0,186,1037,607,28,11,4,22,21,364,201,55.2,74,93,7.8,1,13,4,30.8,1.66,0.51,0.08,0.25,15.7,0,0,0,1.9,1.9,0.14,-0.9,-0.9,74
35,94,Diego Carlos,34.8,17,0.49,13,1,1,1,0,1,1,0.03,1,0,0,0,0,0,94,34.8,45,34,28,16,1,16,29,55.2,13,187,75,40.1,109,70,8,57,29,0,28,18,63,240,3,94,34.8,1600,1847,86.6,37196,11742,403,430,93.7,821,884,92.9,365,515,70.9,0,0.5,-0.5,8,70,3,2,55,94,34.8,2226,392,1277,970,54,28,2166,8,9,88.9,8,0,1402,5577,2129,28,6,0,4,4,1501,1479,98.5,15,94,34.8,2,20,2,10.0,0.57,0.06,0.10,1.00,12.4,0,0,0,2.0,2.0,0.10,0.0,0.0,83
36,95,Yannick Carrasco,7.0,25,3.57,10,5,3,1,6,0,7,1.00,2,1,1,0,3,0,95,7.0,13,7,6,4,3,5,16,31.3,11,148,38,25.7,39,64,45,11,0,0,11,5,18,2,0,95,7.0,174,232,75.0,2708,902,114,127,89.8,37,54,68.5,19,40,47.5,2,0.7,+1.3,11,18,6,0,24,95,7.0,353,4,56,152,172,27,324,18,33,54.5,20,1,259,1315,843,36,9,9,17,30,319,226,70.8,56,95,7.0,1,17,6,35.3,2.42,0.86,0.06,0.17,19.5,1,0,0,1.7,1.7,0.10,-0.7,-0.7,62
37,98,Dani Carvajal,30.4,74,2.43,61,6,4,1,2,0,6,0.20,4,1,0,0,1,0,98,30.4,70,53,30,31,9,19,47,40.4,28,442,132,29.9,143,206,93,71,14,0,57,39,109,36,1,98,30.4,2058,2432,84.6,36024,12113,968,1051,92.1,852,971,87.7,212,322,65.8,5,4.3,+0.7,42,124,53,16,157,98,30.4,2739,111,759,1279,868,75,2428,30,57,52.6,32,2,1706,8074,4713,255,74,19,28,27,1976,1865,94.4,109,98,30.4,1,20,9,45.0,0.66,0.30,0.05,0.11,19.4,0,0,0,2.7,2.7,0.14,-1.7,-1.7,86
38,99,William Carvalho,9.9,14,1.41,12,0,1,0,0,1,1,0.10,1,0,0,0,0,0,99,9.9,10,7,3,4,3,4,12,33.3,8,105,28,26.7,33,56,16,13,5,0,8,2,12,13,0,99,9.9,564,634,89.0,10677,2490,229,254,90.2,243,264,92.0,78,94,83.0,0,0.8,-0.8,8,57,6,0,40,99,9.9,702,26,156,486,113,6,686,15,17,88.2,15,1,506,2266,1121,45,12,1,7,7,579,551,95.2,23,99,9.9,0,6,2,33.3,0.61,0.20,0.00,0.00,21.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,80
39,100,Casemiro,34.3,54,1.57,40,0,0,4,4,6,7,0.20,4,0,0,1,1,1,100,34.3,112,75,54,46,12,38,99,38.4,61,605,219,36.2,255,301,49,83,13,1,70,37,149,79,0,100,34.3,1826,2186,83.5,37520,9488,753,838,89.9,674,792,85.1,353,474,74.5,3,0.3,+2.7,9,185,21,4,146,100,34.3,2615,141,696,1665,369,38,2571,23,33,69.7,23,1,1530,5841,3223,113,38,2,14,24,1829,1734,94.8,55,100,34.3,4,44,12,27.3,1.28,0.35,0.09,0.33,21.4,3,0,0,3.6,3.6,0.08,+0.4,+0.4,89
