,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
30,71,Yassine Bounou,29.5,4,0.14,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,71,29.5,1,1,1,0,0,0,2,0.0,2,0,0,0,4,5,14,0,71,29.5,444,879,50.5,18205,15133,31,31,100.0,118,122,96.7,293,720,40.7,0,0.0,0.1,0.0,0,19,0,0,0,71,29.5,948,802,945,3,0,0,948,1,1,100.0,0,0.0,410,2813,1928,0,0,0,0,0,284,0,71,29.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,77
31,77,Burgui,11.5,46,4.00,36,0,2,3,4,1,4,0.35,3,0,1,0,0,0,77,11.5,10,5,2,4,4,2,6,33.3,4,5,0,5,7,17,1,0,77,11.5,271,365,74.2,4218,1500,149,183,81.4,91,122,74.6,22,34,64.7,0,1.6,1.3,-1.6,18,32,15,1,46,77,11.5,459,4,51,209,208,24,459,36,21,58.3,15,41.7,331,2008,1061,35,17,14,23,17,348,75,77,11.5,1,15,4,26.7,1.31,0.35,0.07,0.25,22.6,1,0,0,0.7,0.7,0.05,+0.3,+0.3,75
32,78,Sergio Busquets,28.8,60,2.08,54,0,0,0,4,2,10,0.35,8,0,0,0,1,1,78,28.8,88,48,27,46,15,39,79,49.4,40,37,10,27,51,139,15,1,78,28.8,2031,2249,90.3,35903,11780,848,929,91.3,869,933,93.1,230,266,86.5,4,2.0,1.9,+2.0,24,209,10,0,203,78,28.8,2459,44,558,1594,325,16,2459,23,18,78.3,5,21.7,1444,5413,2637,15,23,3,18,22,1857,29,78,28.8,1,5,3,60.0,0.17,0.10,0.20,0.33,10.7,0,0,0,1.0,1.0,0.20,0.0,0.0,88
33,79,Unai Bustinza,18.2,16,0.88,10,3,0,1,0,2,1,0.05,0,0,0,1,0,0,79,18.2,36,21,25,8,3,21,38,55.3,17,17,9,8,47,83,64,0,79,18.2,540,691,78.1,10452,4246,234,257,91.1,218,268,81.3,81,140,57.9,0,0.2,0.4,-0.2,4,31,4,2,37,79,18.2,885,75,443,354,95,21,885,6,3,50.0,3,50.0,379,1898,911,12,11,0,10,2,412,9,79,18.2,2,15,9,60.0,0.82,0.49,0.13,0.22,9.5,0,0,0,2.4,2.4,0.18,-0.4,-0.4,75
34,80,Erick Cabaco,11.6,5,0.43,3,0,0,1,1,0,1,0.09,0,0,0,0,1,0,80,11.6,25,14,21,4,0,14,20,70.0,6,10,8,2,17,42,71,2,80,11.6,232,324,71.6,4950,2263,71,82,86.6,123,144,85.4,34,87,39.1,0,0.0,0.1,0.0,1,15,1,0,22,80,11.6,449,89,279,167,7,5,449,4,2,50.0,2,50.0,149,795,470,4,1,1,4,1,188,0,80,11.6,0,2,2,100.0,0.17,0.17,0.00,0.00,6.3,0,0,0,0.6,0.6,0.30,-0.6,-0.6,75
35,81,Gustavo Cabral,21.0,13,0.62,9,0,1,2,0,1,1,0.05,1,0,0,0,0,0,81,21.0,29,21,14,15,0,14,38,36.8,24,22,11,11,43,72,106,2,81,21.0,1134,1283,88.4,23771,7263,289,315,91.7,662,700,94.6,169,241,70.1,1,0.3,0.2,+0.7,2,36,0,0,40,81,21.0,1499,137,820,663,22,13,1499,1,1,100.0,0,0.0,839,3449,1757,4,2,1,6,6,991,2,81,21.0,1,10,2,20.0,0.48,0.10,0.10,0.50,11.6,0,0,0,0.7,0.7,0.07,+0.3,+0.3,77
36,82,Leandro Cabrera,8.0,9,1.13,5,2,1,0,0,1,0,0.00,0,0,0,0,0,0,82,8.0,19,10,12,7,0,7,17,41.2,10,9,5,4,22,41,37,0,82,8.0,151,297,50.8,3269,1970,55,72,76.4,60,105,57.1,34,105,32.4,0,0.3,0.2,-0.3,2,29,7,3,32,82,8.0,381,32,155,173,57,3,381,3,3,100.0,0,0.0,111,499,234,5,7,1,1,3,116,4,82,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,6.9,0,0,0,0.5,0.5,0.24,-0.5,-0.5,72
37,89,Sergio Canales,21.4,129,6.03,70,34,14,8,3,0,11,0.51,5,2,4,0,0,0,89,21.4,30,24,6,18,6,9,32,28.1,23,25,0,25,11,41,3,0,89,21.4,1050,1334,78.7,17549,4452,545,597,91.3,333,412,80.8,129,235,54.9,5,6.0,6.0,-1.0,57,99,40,10,138,89,21.4,1540,11,151,737,682,49,1540,68,46,67.6,22,32.4,1005,6749,3173,79,89,16,29,35,1139,139,89,21.4,4,66,15,22.7,3.08,0.70,0.06,0.27,24.8,6,0,0,3.4,3.4,0.05,+0.6,+0.6,79
38,91,Ander Capa,25.0,44,1.76,38,1,4,0,1,0,5,0.20,5,0,0,0,0,0,91,25.0,57,38,34,14,9,25,38,65.8,13,21,2,19,52,109,50,1,91,25.0,1062,1492,71.2,18906,7912,513,604,84.9,408,543,75.1,123,251,49.0,1,1.5,2.1,-0.5,14,95,26,14,143,91,25.0,1764,49,350,817,619,21,1764,61,34,55.7,27,44.3,829,5224,2987,81,82,11,36,24,907,122,91,25.0,0,6,1,16.7,0.24,0.04,0.00,0.00,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,78
39,94,Daniel Carriço,5.1,3,0.59,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,94,5.1,7,7,6,1,0,4,7,57.1,3,6,3,3,10,17,22,0,94,5.1,214,249,85.9,4265,1725,78,84,92.9,103,115,89.6,31,45,68.9,0,0.2,0.1,-0.2,2,13,0,0,16,94,5.1,291,39,172,112,8,3,291,0,0,,0,,149,726,356,0,1,0,0,2,166,2,94,5.1,0,2,0,0.0,0.39,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,78
