,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
345,Ander Martin,es ESP,FWMF,Real Sociedad,20,2000,1.0,36,46,78.3,502,103,23,27,85.2,9,11,81.8,3,6,50.0,0,0.1,-0.1,2,1,2,1,2,Matches,e1e75690
346,Andrés Martín,es ESP,FWMF,Rayo Vallecano,22,1999,2.1,23,36,63.9,367,96,9,11,81.8,11,16,68.8,2,5,40.0,0,0.0,0.0,0,2,0,0,4,Matches,2ae30661
347,Carlos Martín,es ESP,DF,Atlético Madrid,19,2002,0.1,1,2,50.0,14,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,64035864
348,Iván Martín,es ESP,MF,Alavés,22,1999,1.8,54,67,80.6,865,240,27,29,93.1,22,26,84.6,4,9,44.4,0,0.0,0.0,0,7,0,0,8,Matches,ae48c5cb
349,Iñigo Martínez,es ESP,DF,Athletic Club,30,1991,26.0,968,1203,80.5,22935,8309,266,300,88.7,466,525,88.8,231,360,64.2,0,0.5,-0.5,3,62,7,4,66,Matches,3fc45c73
350,Javi Martínez,es ESP,MF,Osasuna,21,1999,9.8,286,399,71.7,4863,1272,148,185,80.0,105,135,77.8,27,59,45.8,1,1.0,0.0,11,22,4,1,24,Matches,3672b352
351,Pablo Martínez,es ESP,MF,Levante,23,1998,7.3,181,260,69.6,3330,1090,82,96,85.4,71,92,77.2,22,53,41.5,1,1.3,-0.3,6,16,5,1,25,Matches,ecc77652
352,Omar Mascarell,es ESP,MF,Elche,28,1993,27.7,1044,1205,86.6,21038,4695,385,414,93.0,462,505,91.5,175,241,72.6,0,0.2,-0.2,6,68,3,0,64,Matches,11fd2b75
353,Jaime Mata,es ESP,FW,Getafe,32,1988,7.5,135,203,66.5,1889,376,77,107,72.0,41,58,70.7,7,14,50.0,0,0.4,-0.4,7,7,3,0,12,Matches,02319ad7
354,Luís Maximiano,pt POR,GK,Granada,22,1999,34.8,647,1173,55.2,24256,17362,76,76,100.0,237,239,99.2,331,855,38.7,0,0.0,0.0,0,31,1,0,0,Matches,3318286e
355,Borja Mayoral,es ESP,FW,Getafe,24,1997,11.6,194,252,77.0,2945,531,116,137,84.7,45,64,70.3,22,27,81.5,1,1.1,-0.1,12,11,6,3,14,Matches,64e8ed6d
356,Jordi Mboula,es ESP,FW,Mallorca,22,1999,4.8,52,90,57.8,708,168,35,47,74.5,16,34,47.1,0,3,0.0,0,0.1,-0.1,2,4,1,0,4,Matches,4887118d
357,Óscar Melendo,es ESP,MFFW,Espanyol,23,1997,11.0,396,446,88.8,6707,1643,194,205,94.6,151,171,88.3,39,51,76.5,0,1.1,-1.1,17,51,14,1,35,Matches,379652be
358,Gonzalo Melero,es ESP,MF,Levante,27,1994,18.8,669,786,85.1,11405,2262,324,369,87.8,263,295,89.2,64,84,76.2,2,0.9,+1.1,14,52,6,0,60,Matches,3902e91b
359,Tomás Mendes,es ESP,MF,Alavés,16,2004,0.1,4,5,80.0,108,0,1,2,50.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches,45f771db
360,Brais Méndez,es ESP,MF,Celta Vigo,24,1997,33.6,1204,1519,79.3,19935,5257,638,738,86.4,390,473,82.5,123,194,63.4,5,3.8,+1.2,35,128,40,9,130,Matches,c9e39d91
361,Édgar Méndez,es ESP,FWMF,Alavés,31,1990,17.9,264,432,61.1,4839,1439,138,191,72.3,87,132,65.9,36,74,48.6,1,1.8,-0.8,19,11,20,15,29,Matches,aed746df
362,Ferland Mendy,fr FRA,DF,Real Madrid,26,1995,19.3,1247,1361,91.6,19015,5667,722,760,95.0,407,440,92.5,85,103,82.5,1,1.3,-0.3,20,76,17,5,73,Matches,3cefcaef
363,Fran Mérida,es ESP,MF,Espanyol,31,1990,3.0,120,177,67.8,2494,764,48,60,80.0,45,57,78.9,25,55,45.5,0,0.1,-0.1,4,25,2,0,15,Matches,0e50f929
364,Mikel Merino,es ESP,MF,Real Sociedad,25,1996,32.1,1367,1759,77.7,24200,7934,647,763,84.8,529,642,82.4,159,269,59.1,2,3.5,-1.5,27,157,39,4,179,Matches,d080ed5e
