,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
46,Antonio Barragán,es ESP,DFMF,Betis,31,1987,10.4,12,1.16,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,487d9b09
47,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,16,2001,4.4,16,3.61,12,0,3,0,0,1,2,0.45,2,0,0,0,0,0,Matches,200e89e1
48,Marc Bartra,es ESP,DF,Betis,27,1991,32.5,19,0.58,17,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b742cc0d
49,Borja Bastón,es ESP,FW,Alavés,25,1992,16.0,16,1.00,13,0,1,2,0,0,1,0.06,1,0,0,0,0,0,Matches,8c44e37b
50,Michy Batshuayi,be BEL,FW,Valencia,24,1993,5.9,16,2.73,11,0,0,5,0,0,0,0.00,0,0,0,0,0,0,Matches,2973d8ff
51,Jon Bautista,es ESP,FWMF,Real Sociedad,23,1995,6.6,8,1.21,5,0,2,0,1,0,1,0.15,0,0,0,0,1,0,Matches,debc6b55
52,Bebé,cv CPV,FWMF,Rayo Vallecano,28,1990,14.5,39,2.70,21,4,7,4,2,1,4,0.28,1,1,1,0,1,0,Matches,d8712bf9
53,Bebé,cv CPV,MF,Eibar,28,1990,0.7,1,1.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d8712bf9
54,Fran Beltrán,es ESP,MF,Celta Vigo,19,1999,16.9,23,1.36,22,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,ed5c5fa3
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,27,1990,31.2,87,2.78,66,0,11,5,5,0,20,0.64,12,0,4,3,1,0,Matches,942b4f90
56,Karim Benzema,fr FRA,FW,Real Madrid,30,1987,32.8,119,3.63,88,1,12,11,4,3,12,0.37,8,0,0,3,1,0,Matches,70d74ece
57,Yuri Berchiche,es ESP,DFFW,Athletic Club,28,1990,34.7,42,1.21,31,1,0,3,6,1,4,0.12,4,0,0,0,0,0,Matches,b6e50615
58,Markel Bergara,es ESP,MF,Getafe,32,1986,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,04a65a8f
59,Pedro Bigas,es ESP,DF,Eibar,27,1990,6.5,2,0.31,2,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,697295b1
60,Alejandro Blanco,es ESP,FWMF,Alavés,19,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c4dce677
61,Rubén Blanco,es ESP,GK,Celta Vigo,23,1995,25.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,967f34d3
62,Pablo de Blasis,ar ARG,DFMF,Eibar,30,1988,16.9,36,2.13,34,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,9ab48bde
63,Emmanuel Boateng,gh GHA,FW,Levante,22,1996,7.8,12,1.55,5,0,2,2,3,0,3,0.39,1,0,0,1,1,0,Matches,2e23c66b
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,31,1987,2.7,3,1.13,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f4ec4fd0
65,Daniele Bonera,it ITA,DF,Villarreal,37,1981,2.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,13b0c150
66,Ryad Boudebouz,dz ALG,MF,Celta Vigo,28,1990,8.0,30,3.77,25,2,3,0,0,0,3,0.38,3,0,0,0,0,0,Matches,1001ae82
67,Ryad Boudebouz,dz ALG,MFFW,Betis,28,1990,6.0,24,4.01,20,1,3,0,0,0,1,0.17,1,0,0,0,0,0,Matches,1001ae82
68,Sofiane Boufal,ma MAR,MFFW,Celta Vigo,24,1993,23.2,111,4.79,54,6,29,7,14,1,13,0.56,7,0,0,1,5,0,Matches,b0c71810
69,Yassine Bounou,ma MAR,GK,Girona,27,1991,31.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f6798fc3
70,Martin Braithwaite,dk DEN,FW,Leganés,27,1991,15.6,23,1.48,18,0,2,1,2,0,6,0.39,4,0,0,1,1,0,Matches,fd771f95
71,Darko Brašanac,rs SRB,MF,Alavés,26,1992,17.6,24,1.37,18,2,1,1,2,0,1,0.06,1,0,0,0,0,0,Matches,4accb7e0
72,Rajko Brežančić,rs SRB,DF,Huesca,28,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1519a888
73,Bryan,es ESP,MFFW,Sevilla,17,2001,1.9,4,2.16,3,0,1,0,0,0,2,1.08,1,0,1,0,0,0,Matches,7b5ab7f2
74,Burgui,es ESP,MFFW,Alavés,24,1993,6.2,24,3.89,16,3,2,0,3,0,2,0.32,2,0,0,0,0,0,Matches,45e304c8
75,Sergio Busquets,es ESP,MF,Barcelona,30,1988,30.2,51,1.69,45,0,0,1,2,3,5,0.17,4,0,0,0,0,1,Matches,5ab0ea87
76,Unai Bustinza,es ESP,DF,Leganés,26,1992,22.5,31,1.38,23,4,0,0,2,2,1,0.04,1,0,0,0,0,0,Matches,f3112790
77,Erick Cabaco,uy URU,DF,Levante,23,1995,18.1,9,0.50,9,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,e7ab4179
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,32,1985,21.1,13,0.62,9,0,1,3,0,0,3,0.14,2,0,0,1,0,0,Matches,92b4a127
79,Leandro Cabrera,uy URU,DF,Getafe,27,1991,31.0,13,0.42,8,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,69cbc8b6
80,Jordi Calavera,es ESP,DF,Eibar,22,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bdef8cdb
81,Fernando Calero,es ESP,DF,Valladolid,22,1995,34.8,15,0.43,13,1,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches,41b3069f
