,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,25,1993,13.8,638,752,84.8,14025,3252,209,236,88.6,297,332,89.5,128,166,77.1,1,0.9,+0.1,6,77,11,0,69,Matches,cce181df
268,Vasyl Kravets,ua UKR,DF,Leganés,20,1997,5.3,158,222,71.2,2673,969,78,88,88.6,67,91,73.6,11,36,30.6,0,0.5,-0.5,6,8,6,3,14,Matches,29e48848
269,Toni Kroos,de GER,MF,Real Madrid,28,1990,24.7,1966,2204,89.2,39897,11028,829,866,95.7,741,795,93.2,367,490,74.9,4,3.7,+0.3,60,225,17,3,163,Matches,6ce1f46f
270,Víctor Laguardia,es ESP,DF,Alavés,28,1989,36.0,919,1252,73.4,22649,10080,230,278,82.7,440,510,86.3,245,446,54.9,2,1.1,+0.9,7,89,8,0,92,Matches,b7c99b9b
271,Diego Lainez,mx MEX,MFFW,Betis,18,2000,3.9,111,133,83.5,1423,312,71,73,97.3,34,42,81.0,3,7,42.9,1,0.4,+0.6,6,9,3,0,8,Matches,bf12926c
272,Toni Lato,es ESP,DF,Valencia,20,1997,3.0,141,176,80.1,2556,1152,51,60,85.0,71,82,86.6,16,30,53.3,0,0.0,0.0,1,11,4,0,11,Matches,8e088e04
273,Miguel Layún,mx MEX,MFDF,Villarreal,30,1988,5.6,201,286,70.3,3968,1349,91,107,85.0,76,105,72.4,32,71,45.1,1,1.3,-0.3,12,20,6,4,18,Matches,ad6295d4
274,Robin Le Normand,fr FRA,DF,Real Sociedad,21,1996,3.2,200,223,89.7,4516,1154,46,47,97.9,108,114,94.7,45,58,77.6,1,0.0,+1.0,1,8,1,0,9,Matches,9a64e67e
275,Wu Lei,cn CHN,FWMF,Espanyol,26,1991,11.8,156,221,70.6,2041,569,110,137,80.3,34,52,65.4,5,12,41.7,1,0.7,+0.3,9,6,14,3,16,Matches,e3fabb0a
276,Iñigo Lekue,es ESP,DF,Athletic Club,25,1993,2.3,90,119,75.6,1573,658,46,54,85.2,33,43,76.7,9,20,45.0,0,0.1,-0.1,2,5,0,0,4,Matches,59b7d823
277,Thomas Lemar,fr FRA,MFFW,Atlético Madrid,22,1995,20.2,820,1013,80.9,13101,3530,472,536,88.1,260,305,85.2,73,132,55.3,3,2.9,+0.1,37,59,28,4,81,Matches,4dbd0916
278,Clément Lenglet,fr FRA,DF,Barcelona,23,1995,21.5,1024,1146,89.4,21201,8387,340,361,94.2,508,540,94.1,172,232,74.1,0,0.0,0.0,0,40,0,0,48,Matches,4f28a6ff
279,Pedro León,es ESP,MFFW,Eibar,31,1986,4.7,93,168,55.4,1667,666,51,68,75.0,26,46,56.5,16,45,35.6,0,0.2,-0.2,4,8,6,5,13,Matches,d66b9872
280,Sergio León,es ESP,FWMF,Betis,29,1989,7.1,80,106,75.5,1158,130,46,57,80.7,26,32,81.3,5,9,55.6,1,0.5,+0.5,6,0,1,1,2,Matches,0a0cc13c
281,Diego Llorente,es ESP,DF,Real Sociedad,24,1993,19.5,931,1091,85.3,21455,5973,211,232,90.9,523,564,92.7,197,289,68.2,0,0.1,-0.1,2,52,3,0,50,Matches,bba30585
282,Marcos Llorente,es ESP,MF,Real Madrid,23,1995,6.0,345,374,92.2,6965,1279,125,137,91.2,155,161,96.3,60,66,90.9,0,0.3,-0.3,4,17,0,0,11,Matches,02c15616
283,Giovani Lo Celso,ar ARG,MFFW,Betis,22,1996,26.6,1201,1456,82.5,20048,4593,586,660,88.8,482,564,85.5,110,167,65.9,4,3.6,+0.4,25,103,47,2,126,Matches,d7553721
284,Stanislav Lobotka,sk SVK,MF,Celta Vigo,23,1994,27.7,1284,1439,89.2,22612,5626,608,670,90.7,519,565,91.9,146,181,80.7,1,0.8,+0.2,20,105,12,1,106,Matches,e1cbb531
285,Samuele Longo,it ITA,FWMF,Huesca,26,1992,6.2,56,84,66.7,784,191,35,50,70.0,15,21,71.4,3,7,42.9,2,0.6,+1.4,3,5,1,0,5,Matches,1163de29
286,Alejandro López,es ESP,MF,Espanyol,21,1997,1.2,66,76,86.8,1376,224,21,22,95.5,33,35,94.3,11,15,73.3,0,0.0,0.0,0,5,1,1,4,Matches,f1887f53
287,David López,es ESP,DF,Espanyol,28,1989,20.2,1053,1190,88.5,22290,7836,312,346,90.2,548,585,93.7,184,243,75.7,0,0.2,-0.2,4,65,5,1,61,Matches,f03f284b
288,Diego López,es ESP,GK,Espanyol,36,1981,38.0,845,1203,70.2,27888,17624,108,108,100.0,372,375,99.2,364,719,50.6,0,0.0,0.0,1,14,1,0,0,Matches,73683fa9
289,Javi López,es ESP,DF,Espanyol,32,1986,21.6,835,1086,76.9,14937,5853,358,407,88.0,389,478,81.4,79,162,48.8,1,1.5,-0.5,17,56,22,7,82,Matches,ffad706e
290,Lluis López,es ESP,DF,Espanyol,21,1997,5.8,198,239,82.8,4158,1672,59,66,89.4,103,120,85.8,35,51,68.6,0,0.0,0.0,0,12,0,0,15,Matches,a685f013
291,Pedro López Muñoz,es ESP,DF,Levante,34,1983,5.2,195,244,79.9,3510,1565,96,101,95.0,72,88,81.8,26,46,56.5,1,0.5,+0.5,7,14,10,5,28,Matches,a60823a4
292,Pau López,es ESP,GK,Betis,23,1994,33.0,990,1222,81.0,24864,15062,206,208,99.0,530,538,98.5,249,469,53.1,0,0.0,0.0,0,3,0,0,1,Matches,20b9f052
293,Roberto López,es ESP,MF,Real Sociedad,18,2000,0.3,3,5,60.0,29,12,2,2,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,2a8c9f98
294,Unai López,es ESP,MF,Athletic Club,22,1995,3.6,214,250,85.6,4515,906,82,95,86.3,90,97,92.8,40,55,72.7,0,0.3,-0.3,2,28,7,2,17,Matches,88050721
295,Anthony Lozano,hn HON,FWMF,Girona,25,1993,8.1,125,195,64.1,1778,473,73,95,76.8,39,57,68.4,6,24,25.0,0,0.6,-0.6,5,8,5,0,13,Matches,38699c72
296,Filipe Luís,br BRA,DF,Atlético Madrid,32,1985,22.6,1259,1523,82.7,21194,8036,630,677,93.1,496,584,84.9,112,216,51.9,2,1.1,+0.9,16,131,25,9,115,Matches,e4ed2628
297,José Luis Gayà,es ESP,DF,Valencia,23,1995,34.9,1449,1812,80.0,26365,9933,620,702,88.3,674,790,85.3,147,272,54.0,1,2.1,-1.1,25,123,39,15,149,Matches,b05e2dbd
298,José Luis Morales,es ESP,FWMF,Levante,31,1987,35.5,547,809,67.6,8572,2606,312,386,80.8,176,254,69.3,46,113,40.7,5,5.4,-0.4,41,33,41,9,62,Matches,4a478107
299,Luisinho,pt POR,DF,Huesca,33,1985,5.6,209,245,85.3,3682,1334,85,90,94.4,109,122,89.3,14,30,46.7,0,0.3,-0.3,2,14,4,3,11,Matches,a7f00c8c
300,Douglas Luiz,br BRA,MF,Girona,20,1998,16.6,634,766,82.8,13391,3332,211,244,86.5,286,327,87.5,124,178,69.7,0,0.4,-0.4,11,72,10,1,79,Matches,6f7d826d
301,Antonio Luna,es ESP,DF,Levante,27,1991,14.0,471,648,72.7,8104,3392,224,251,89.2,197,261,75.5,44,114,38.6,2,1.5,+0.5,12,26,17,9,49,Matches,ed239245
302,Andriy Lunin,ua UKR,GK,Leganés,19,1999,4.1,84,122,68.9,3516,2388,6,6,100.0,22,23,95.7,56,93,60.2,0,0.0,0.0,0,1,0,0,0,Matches,3061e1ec
303,Nemanja Maksimović,rs SRB,MF,Getafe,23,1995,35.7,583,779,74.8,9775,2540,273,341,80.1,212,278,76.3,63,106,59.4,0,0.6,-0.6,13,54,10,0,71,Matches,00b28772
304,Malcom,br BRA,FWDF,Barcelona,21,1997,6.8,273,329,83.0,3952,768,171,191,89.5,91,114,79.8,8,14,57.1,2,1.6,+0.4,12,8,4,1,21,Matches,6853490f
305,Hugo Mallo,es ESP,DF,Celta Vigo,27,1991,34.4,1450,1996,72.6,25732,10495,688,788,87.3,577,743,77.7,163,387,42.1,4,3.8,+0.2,29,108,44,15,135,Matches,cb574619
306,Aïssa Mandi,dz ALG,DF,Betis,26,1991,34.0,2413,2607,92.6,47049,17208,914,964,94.8,1169,1249,93.6,313,360,86.9,1,1.2,-0.2,15,184,9,1,127,Matches,fbd6378b
307,Martín Mantovani,ar ARG,DF,Huesca,34,1984,7.8,180,211,85.3,3389,1126,70,76,92.1,80,89,89.9,26,38,68.4,0,0.0,0.0,1,4,0,0,7,Matches,4ffb647d
308,Fran Manzanara,es ESP,DFMF,Levante,21,1996,1.7,62,70,88.6,1184,247,23,25,92.0,28,30,93.3,10,12,83.3,0,0.0,0.0,0,2,0,0,0,Matches,bbfaeda4
309,Marcelo,br BRA,DF,Real Madrid,30,1988,20.6,1255,1539,81.5,21423,8184,667,719,92.8,451,535,84.3,121,236,51.3,2,3.0,-1.0,35,111,56,14,163,Matches,603116a7
310,Óscar de Marcos,es ESP,DFFW,Athletic Club,29,1989,26.9,1030,1343,76.7,18179,6754,481,559,86.0,447,551,81.1,91,177,51.4,2,2.6,-0.6,24,67,30,15,100,Matches,9f323c71
311,Miguel Marí,es ESP,MF,Eibar,21,1997,0.8,35,39,89.7,647,96,15,17,88.2,15,16,93.8,5,5,100.0,0,0.0,0.0,0,6,0,0,1,Matches,d70a3661
312,José María Giménez,uy URU,DF,Atlético Madrid,23,1995,19.7,596,736,81.0,13937,5001,171,188,91.0,278,317,87.7,144,224,64.3,0,0.4,-0.4,2,43,5,0,26,Matches,f0da930c
313,Mariano,do DOM,FW,Real Madrid,24,1993,5.0,72,95,75.8,1054,183,48,61,78.7,18,25,72.0,4,5,80.0,0,0.8,-0.8,5,3,3,0,7,Matches,5c4dc0ff
314,Adrián Marín,es ESP,DFMF,Alavés,21,1997,3.2,79,111,71.2,1318,790,40,43,93.0,32,44,72.7,6,21,28.6,0,0.0,0.0,0,6,0,0,6,Matches,b7f2edff
315,Guillermo Maripán,cl CHI,DF,Alavés,24,1994,22.3,527,679,77.6,12316,4898,142,161,88.2,248,285,87.0,132,219,60.3,2,0.6,+1.4,3,29,0,0,41,Matches,d9764034
316,Roger Martí,es ESP,FW,Levante,27,1991,21.0,270,388,69.6,4277,772,165,204,80.9,70,106,66.0,28,51,54.9,0,1.0,-1.0,13,23,11,1,24,Matches,0ae4e09a
317,Iñigo Martínez,es ESP,DF,Athletic Club,27,1991,32.2,1112,1401,79.4,27328,8982,278,317,87.7,541,604,89.6,290,466,62.2,0,0.5,-0.5,5,91,6,0,85,Matches,3fc45c73
318,Gelson Martins,pt POR,FW,Atlético Madrid,23,1995,2.5,52,70,74.3,750,269,37,47,78.7,12,15,80.0,3,5,60.0,0,0.0,0.0,2,5,4,0,9,Matches,3ef0fa48
319,Jordi Masip,es ESP,GK,Valladolid,29,1989,35.0,594,1144,51.9,23842,18102,44,44,100.0,215,218,98.6,335,880,38.1,0,0.1,-0.1,2,17,0,0,0,Matches,8fae77ea
320,Jaime Mata,es ESP,FWMF,Getafe,29,1988,27.0,424,691,61.4,6811,1580,225,331,68.0,145,219,66.2,37,77,48.1,6,3.0,+3.0,17,32,19,6,54,Matches,02319ad7
321,Borja Mayoral,es ESP,FW,Levante,21,1997,18.0,326,393,83.0,4918,930,187,218,85.8,105,120,87.5,24,34,70.6,2,2.9,-0.9,22,15,13,2,28,Matches,64e8ed6d
322,Róbert Mazáň,sk SVK,DF,Celta Vigo,24,1994,1.0,45,55,81.8,690,268,29,33,87.9,13,16,81.3,3,5,60.0,0,0.1,-0.1,1,0,1,0,1,Matches,30672832
323,Álvaro Medrán,es ESP,MF,Rayo Vallecano,24,1994,12.8,631,781,80.8,12116,3675,272,300,90.7,247,284,87.0,100,173,57.8,0,1.6,-1.6,28,71,5,1,60,Matches,31223bcf
324,Óscar Melendo,es ESP,MFFW,Espanyol,20,1997,22.2,760,895,84.9,12504,2911,367,404,90.8,306,348,87.9,70,100,70.0,5,3.3,+1.7,33,64,50,3,92,Matches,379652be
325,Gonzalo Melero,es ESP,MF,Huesca,24,1994,14.9,623,714,87.3,10492,2608,326,359,90.8,227,259,87.6,63,79,79.7,1,1.1,-0.1,21,67,6,0,64,Matches,3902e91b
326,Arthur Melo,br BRA,MF,Barcelona,21,1996,15.9,1211,1302,93.0,21656,4702,541,567,95.4,511,543,94.1,139,162,85.8,1,1.6,-0.6,17,139,8,0,82,Matches,48b3dd60
327,Brais Méndez,es ESP,MFFW,Celta Vigo,21,1997,26.1,918,1224,75.0,15670,4422,456,523,87.2,332,424,78.3,101,218,46.3,7,3.3,+3.7,43,75,29,6,89,Matches,c9e39d91
328,Gabriel Mercado,ar ARG,DF,Sevilla,31,1987,19.3,635,764,83.1,12191,4339,238,257,92.6,316,348,90.8,74,140,52.9,1,0.0,+1.0,0,37,4,0,37,Matches,bf97c188
329,Mikel Merino,es ESP,MF,Real Sociedad,22,1996,22.8,883,1113,79.3,16528,4836,354,427,82.9,384,459,83.7,127,190,66.8,3,1.8,+1.2,15,111,21,7,115,Matches,d080ed5e
330,Sabin Merino,es ESP,FWMF,Leganés,26,1992,3.3,67,89,75.3,898,171,42,47,89.4,17,24,70.8,3,7,42.9,0,0.2,-0.2,3,2,2,0,5,Matches,1d5f96d9
331,Martín Merquelanz,es ESP,MFFW,Real Sociedad,23,1995,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,ddd5348b
332,Roque Mesa,es ESP,MF,Sevilla,29,1989,19.4,828,973,85.1,14429,3472,423,468,90.4,299,334,89.5,91,132,68.9,2,1.4,+0.6,16,75,25,10,71,Matches,7c4243d4
333,Lionel Messi,ar ARG,FW,Barcelona,31,1987,30.1,1524,1939,78.6,26651,9132,822,922,89.2,488,633,77.1,193,309,62.5,13,13.6,-0.6,91,179,141,10,281,Matches,d70ce98e
334,Míchel,es ESP,MF,Valladolid,30,1988,28.4,1402,1731,81.0,29042,7806,517,578,89.4,596,681,87.5,263,419,62.8,2,4.0,-2.0,52,128,13,3,160,Matches,418f8f61
335,Miguel,es ESP,MFFW,Valladolid,18,1999,0.1,5,7,71.4,53,2,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,6763373d
336,Pere Milla,es ESP,FWMF,Eibar,25,1992,3.8,74,127,58.3,1119,340,36,51,70.6,34,50,68.0,3,19,15.8,0,0.3,-0.3,3,2,6,4,5,Matches,335039a2
337,Santi Mina,es ESP,FW,Valencia,22,1995,20.6,350,477,73.4,5570,877,194,246,78.9,118,160,73.8,28,40,70.0,5,2.5,+2.5,15,22,8,4,23,Matches,0b90bb97
338,Ignasi Miquel,es ESP,DF,Getafe,25,1992,3.5,51,88,58.0,1230,481,8,9,88.9,31,41,75.6,12,37,32.4,0,0.0,0.0,0,10,1,0,7,Matches,174f09a6
339,Jorge Miramón,es ESP,DF,Huesca,29,1989,27.7,993,1357,73.2,18950,9409,427,488,87.5,418,560,74.6,140,269,52.0,0,1.8,-1.8,27,70,35,16,111,Matches,7f4c7c9f
340,Luka Modrić,hr CRO,MF,Real Madrid,32,1985,29.0,1725,1982,87.0,32081,8636,798,859,92.9,631,707,89.3,271,351,77.2,6,2.8,+3.2,48,203,42,5,175,Matches,6025fab1
341,Johan Mojica,co COL,DFMF,Girona,25,1992,0.2,6,9,66.7,163,69,1,1,100.0,3,5,60.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches,608f2092
342,Jorge Molina,es ESP,FW,Getafe,36,1982,29.4,500,749,66.8,7278,2017,311,419,74.2,145,212,68.4,31,52,59.6,5,5.3,-0.3,39,35,34,4,74,Matches,43f71e77
343,Victor Mollejo,es ESP,FWMF,Atlético Madrid,17,2001,0.7,21,24,87.5,217,44,18,18,100.0,2,4,50.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches,23fffc06
344,Francisco Montero,es ESP,DF,Atlético Madrid,19,1999,4.5,119,156,76.3,2396,924,45,49,91.8,52,59,88.1,21,44,47.7,0,0.0,0.0,0,5,1,0,4,Matches,3e96f3e7
345,Emre Mor,tr TUR,FWMF,Celta Vigo,21,1997,4.1,68,93,73.1,1196,317,27,38,71.1,28,34,82.4,8,11,72.7,0,0.1,-0.1,2,6,6,2,10,Matches,0c3f7197
346,Álvaro Morata,es ESP,FW,Atlético Madrid,25,1992,12.0,179,280,63.9,2230,322,114,157,72.6,48,87,55.2,4,10,40.0,1,1.3,-0.3,7,7,4,0,12,Matches,129af0db
347,Álex Moreno,es ESP,DF,Rayo Vallecano,25,1993,34.8,1178,1545,76.2,18960,6978,659,753,87.5,431,552,78.1,78,179,43.6,1,3.1,-2.1,36,70,44,17,113,Matches,16e9d0ea
348,Gerard Moreno,es ESP,FW,Villarreal,26,1992,25.7,550,764,72.0,10018,2017,270,350,77.1,200,276,72.5,75,104,72.1,1,3.3,-2.3,34,47,22,7,69,Matches,81f0781e
349,Héctor Moreno,mx MEX,DF,Real Sociedad,30,1988,21.5,1037,1212,85.6,22071,7618,285,308,92.5,587,624,94.1,161,263,61.2,0,0.6,-0.6,4,66,3,0,89,Matches,5d311e8d
350,Sergio Moreno,es ESP,MF,Rayo Vallecano,19,1999,0.2,1,1,100.0,24,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,014b57f5
351,Manu Morlanes,es ESP,MF,Villarreal,19,1999,6.8,273,330,82.7,5201,1456,109,128,85.2,124,146,84.9,36,47,76.6,3,1.0,+2.0,9,39,8,0,39,Matches,a0255c67
352,Loren Morón,es ESP,FW,Betis,24,1993,21.7,273,366,74.6,3650,655,175,201,87.1,76,103,73.8,9,24,37.5,0,1.2,-1.2,12,13,11,1,24,Matches,3aa4a3be
353,Toni Moya,es ESP,DF,Atlético Madrid,20,1998,1.0,45,50,90.0,1020,372,11,11,100.0,20,22,90.9,14,17,82.4,0,0.0,0.0,0,3,0,0,3,Matches,9e098912
354,Javi Moyano,es ESP,DF,Valladolid,32,1986,23.3,725,972,74.6,13626,5882,298,340,87.6,336,421,79.8,86,186,46.2,0,0.4,-0.4,10,48,12,1,76,Matches,933e8c8a
355,Iker Muniain,es ESP,FWMF,Athletic Club,25,1992,26.5,1053,1250,84.2,18151,4413,506,572,88.5,413,478,86.4,114,162,70.4,3,3.3,-0.3,29,122,35,6,118,Matches,c05dfb74
356,Marc Muniesa,es ESP,DFMF,Girona,26,1992,15.6,708,887,79.8,13995,5936,261,288,90.6,342,401,85.3,93,169,55.0,0,0.5,-0.5,8,51,11,2,66,Matches,4db76f57
357,Aihen Muñoz,es ESP,DF,Real Sociedad,20,1997,10.6,387,521,74.3,6991,2876,165,193,85.5,178,226,78.8,41,81,50.6,0,0.2,-0.2,7,15,10,6,21,Matches,228b0d9d
358,Ezequiel Muñoz,ar ARG,DF,Leganés,27,1990,2.3,94,114,82.5,2215,492,20,25,80.0,52,55,94.5,22,32,68.8,0,0.0,0.0,0,3,0,0,4,Matches,e4b8c5b6
359,Joaquín Muñoz,es ESP,MF,Atlético Madrid,19,1999,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,e9fbcc21
360,Luis Muriel,co COL,MFFW,Sevilla,27,1991,1.4,35,44,79.5,517,122,23,28,82.1,10,11,90.9,2,4,50.0,1,0.1,+0.9,2,3,0,0,3,Matches,eb2fe5b6
361,Jeison Murillo,co COL,DF,Barcelona,26,1992,1.3,113,123,91.9,2704,782,27,28,96.4,57,61,93.4,28,32,87.5,0,0.0,0.0,0,11,0,0,9,Matches,b233e8e4
362,Jeison Murillo,co COL,DF,Valencia,26,1992,1.0,18,21,85.7,379,207,5,8,62.5,11,11,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,Matches,b233e8e4
363,Damián Musto,ar ARG,MF,Huesca,31,1987,18.7,628,778,80.7,11786,3307,265,312,84.9,266,316,84.2,86,130,66.2,0,0.1,-0.1,6,54,4,0,52,Matches,74e0a984
364,Nacho,es ESP,DF,Real Madrid,28,1990,18.9,913,1030,88.6,16321,5030,388,417,93.0,428,465,92.0,91,127,71.7,1,0.2,+0.8,3,41,6,1,46,Matches,2946f9a1
365,Nacho,es ESP,DF,Valladolid,29,1989,35.0,1291,1824,70.8,23954,10089,537,619,86.8,607,753,80.6,137,389,35.2,3,3.4,-0.4,39,94,45,13,140,Matches,e29d1111
366,Naldo,br BRA,DF,Espanyol,29,1988,15.1,494,597,82.7,10687,3784,144,160,90.0,241,276,87.3,106,155,68.4,1,0.1,+0.9,1,14,0,0,19,Matches,a2609621
367,Ximo Navarro,es ESP,DF,Alavés,28,1990,28.1,779,1001,77.8,15337,6160,295,335,88.1,369,435,84.8,108,199,54.3,2,1.2,+0.8,13,53,13,8,57,Matches,8db394aa
368,Jesús Navas,es ESP,DFMF,Sevilla,32,1985,30.1,1361,1836,74.1,25154,8870,633,731,86.6,514,688,74.7,193,332,58.1,5,5.5,-0.5,41,107,77,37,168,Matches,3f10bd22
369,Keylor Navas,cr CRC,GK,Real Madrid,31,1986,10.0,223,285,78.2,6354,3230,23,23,100.0,130,131,99.2,70,131,53.4,0,0.0,0.0,0,1,0,0,0,Matches,ecada4fc
370,Raúl Navas,es ESP,DF,Real Sociedad,30,1988,14.6,765,876,87.3,16777,4745,187,204,91.7,434,466,93.1,139,195,71.3,0,0.3,-0.3,5,49,3,2,32,Matches,ad178594
371,Neto,br BRA,GK,Valencia,29,1989,34.0,494,842,58.7,18372,13611,53,53,100.0,187,191,97.9,252,596,42.3,0,0.0,0.0,1,9,0,0,1,Matches,a9dc785c
372,Saúl Ñíguez,es ESP,MFDF,Atlético Madrid,23,1994,32.5,1246,1619,77.0,20665,6330,634,734,86.4,504,646,78.0,91,183,49.7,1,1.5,-0.5,15,109,23,5,106,Matches,c14bc029
373,Peru Nolaskoain,es ESP,DF,Athletic Club,19,1998,5.2,237,272,87.1,5051,1862,70,80,87.5,120,136,88.2,46,53,86.8,0,0.1,-0.1,1,21,3,0,22,Matches,857cb4f3
374,Nolito,es ESP,FWMF,Sevilla,31,1986,0.8,21,30,70.0,406,92,9,13,69.2,7,9,77.8,5,7,71.4,0,0.0,0.0,0,1,0,0,3,Matches,b2d0ec1b
375,Unai Núñez,es ESP,DF,Athletic Club,21,1997,11.8,468,534,87.6,10779,3322,116,128,90.6,243,264,92.0,108,141,76.6,0,0.2,-0.2,3,24,1,0,34,Matches,be170419
376,Allan Nyom,cm CMR,DF,Leganés,30,1988,19.0,473,638,74.1,7737,3487,249,286,87.1,174,228,76.3,42,99,42.4,1,2.5,-1.5,26,31,31,24,46,Matches,97572117
377,Jan Oblak,si SVN,GK,Atlético Madrid,25,1993,37.0,468,850,55.1,19833,15260,48,48,100.0,137,142,96.5,282,658,42.9,0,0.0,0.0,0,19,0,0,0,Matches,ee8508c0
378,Álvaro Odriozola,es ESP,DF,Real Madrid,22,1995,13.1,667,779,85.6,9899,2993,421,461,91.3,194,229,84.7,42,56,75.0,2,2.6,-0.6,16,18,16,7,25,Matches,1d1691ad
379,Dani Ojeda,es ESP,MFDF,Leganés,23,1994,2.1,49,71,69.0,856,220,26,36,72.2,17,22,77.3,6,11,54.5,0,0.3,-0.3,2,2,1,1,3,Matches,375a669e
380,Lucas Olaza,uy URU,DF,Celta Vigo,24,1994,10.0,368,491,74.9,6799,3055,158,167,94.6,165,207,79.7,41,100,41.0,2,0.6,+1.4,7,28,11,6,24,Matches,4cee5954
381,Oier Olazábal,es ESP,GK,Levante,28,1989,21.0,343,565,60.7,13139,9262,23,23,100.0,136,142,95.8,184,400,46.0,0,0.2,-0.2,1,6,1,0,0,Matches,b5bdf144
382,Kiko Olivas,es ESP,DF,Valladolid,29,1988,34.4,1187,1356,87.5,24009,6730,384,416,92.3,591,622,95.0,196,293,66.9,0,0.4,-0.4,5,60,4,0,61,Matches,72b07a9c
383,Paulo Oliveira,pt POR,DF,Eibar,26,1992,24.9,681,964,70.6,17826,5541,106,137,77.4,347,408,85.0,223,396,56.3,0,0.1,-0.1,1,69,2,0,79,Matches,a8fbae1d
384,Mathías Olivera,uy URU,DFMF,Getafe,20,1997,11.2,220,393,56.0,3408,1833,128,173,74.0,75,144,52.1,14,58,24.1,1,1.3,-0.3,6,23,7,3,33,Matches,41c12f75
385,Kenneth Omeruo,ng NGA,DF,Leganés,24,1993,27.0,768,942,81.5,17945,5545,197,216,91.2,370,416,88.9,193,289,66.8,0,0.1,-0.1,2,39,3,1,42,Matches,0f0aa5b4
386,Fabián Orellana,cl CHI,MFFW,Eibar,32,1986,30.4,973,1316,73.9,16617,3632,481,611,78.7,381,482,79.0,103,164,62.8,5,4.6,+0.4,45,55,54,14,108,Matches,c90977db
387,Mikel Oyarzabal,es ESP,FWMF,Real Sociedad,21,1997,35.0,733,1010,72.6,11723,3051,406,488,83.2,247,335,73.7,64,120,53.3,2,5.0,-3.0,42,45,28,8,74,Matches,8c3c640c
388,Fernando Pacheco,es ESP,GK,Alavés,26,1992,35.0,580,1041,55.7,24678,18979,43,45,95.6,153,155,98.7,381,838,45.5,0,0.2,-0.2,3,16,0,0,0,Matches,97852360
389,Rubén Pardo,es ESP,MFFW,Real Sociedad,25,1992,15.2,683,883,77.3,13655,4168,260,291,89.3,305,349,87.4,105,214,49.1,2,3.0,-1.0,39,76,19,4,71,Matches,2306bfde
390,Daniel Parejo,es ESP,MF,Valencia,29,1989,34.0,1967,2407,81.7,41806,15604,688,765,89.9,880,998,88.2,384,594,64.6,7,7.2,-0.2,79,258,41,6,294,Matches,7460ca0d
391,Thomas Partey,gh GHA,MF,Atlético Madrid,25,1993,23.0,1170,1406,83.2,21496,6716,550,618,89.0,450,514,87.5,155,242,64.0,4,1.1,+2.9,18,127,24,2,131,Matches,529f49ab
392,Gabriel Paulista,br BRA,DF,Valencia,27,1990,29.1,1142,1289,88.6,25506,9114,301,325,92.6,599,641,93.4,236,309,76.4,1,0.4,+0.6,4,60,3,0,58,Matches,b7ca5c51
393,Alfonso Pedraza,es ESP,DFFW,Villarreal,22,1996,23.3,726,992,73.2,12130,4730,351,421,83.4,317,399,79.4,44,111,39.6,3,3.9,-0.9,25,34,31,12,79,Matches,63f04c6c
394,Pedrosa,es ESP,DF,Espanyol,20,1998,8.5,244,310,78.7,4187,1291,123,138,89.1,98,121,81.0,20,45,44.4,0,0.6,-0.6,7,10,5,0,12,Matches,112521d1
395,Rubén Peña,es ESP,DF,Eibar,27,1991,29.7,1312,1930,68.0,26700,14205,472,573,82.4,603,806,74.8,224,478,46.9,2,4.1,-2.1,44,157,71,42,204,Matches,1f079188
396,Carles Pérez,es ESP,FW,Barcelona,20,1998,0.2,6,7,85.7,117,18,1,2,50.0,5,5,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches,a8f21b9f
397,Hernán Pérez,py PAR,FWMF,Espanyol,29,1989,8.8,178,272,65.4,3137,1058,90,118,76.3,74,108,68.5,13,32,40.6,2,2.3,-0.3,17,11,16,6,23,Matches,e1cea3f7
398,Rubén Pérez,es ESP,MF,Leganés,29,1989,27.5,1110,1382,80.3,22609,6476,427,491,87.0,484,567,85.4,190,296,64.2,0,1.4,-1.4,15,120,5,2,112,Matches,3c7bc9bd
399,Pablo Piatti,ar ARG,FWMF,Espanyol,29,1989,8.3,193,297,65.0,3220,918,100,126,79.4,70,102,68.6,18,56,32.1,0,1.4,-1.4,13,12,15,4,24,Matches,48e89655
400,Cristiano Piccini,it ITA,DF,Valencia,25,1992,20.8,805,1025,78.5,14828,5679,348,385,90.4,352,435,80.9,96,170,56.5,0,0.9,-0.9,6,58,24,11,78,Matches,32c0491f
